competitor,mean_rank,std_rank,min_rank,min_dists,max_rank,max_dists,rank_range,consistency,sorted_distributions
fttransformer|0.05_0.15_0.8|encoding,67.2025,6.2532,58.8182,approx_normal,76.5,highly_skewed,17.6818,variable,approx_normal:58.818;constant:62.0;moderately_skewed:67.556;multimodal:67.786;heavy_tailed:70.556;highly_skewed:76.5
fttransformer|0.05_0.15_0.8|materialize,62.6663,6.4513,56.0,constant,71.6667,moderately_skewed,15.6667,variable,constant:56.0;multimodal:57.286;highly_skewed:58.5;heavy_tailed:64.0;approx_normal:68.545;moderately_skewed:71.667
fttransformer|0.05_0.15_0.8|start,60.9762,10.0589,48.6667,highly_skewed,72.2222,moderately_skewed,23.5556,variable,highly_skewed:48.667;constant:53.0;multimodal:54.857;heavy_tailed:66.111;approx_normal:71.0;moderately_skewed:72.222
fttransformer|0.8_0.15_0.05|columnwise,38.9564,6.5385,32.6667,constant,51.4167,highly_skewed,18.75,variable,constant:32.667;approx_normal:34.909;heavy_tailed:37.444;moderately_skewed:38.444;multimodal:38.857;highly_skewed:51.417
fttransformer|0.8_0.15_0.05|decoding,51.7921,15.1369,30.4444,heavy_tailed,69.0,multimodal,38.5556,variable,heavy_tailed:30.444;moderately_skewed:36.111;approx_normal:55.364;constant:58.667;highly_skewed:61.167;multimodal:69.0
fttransformer|0.8_0.15_0.05|encoding,38.7837,11.1283,26.0,approx_normal,54.5833,highly_skewed,28.5833,variable,approx_normal:26.0;moderately_skewed:29.0;constant:34.0;heavy_tailed:41.333;multimodal:47.786;highly_skewed:54.583
fttransformer|0.8_0.15_0.05|materialize,42.0932,3.7467,35.8889,heavy_tailed,47.6667,constant,11.7778,variable,heavy_tailed:35.889;moderately_skewed:41.889;approx_normal:42.091;highly_skewed:42.167;multimodal:42.857;constant:47.667
fttransformer|0.8_0.15_0.05|start,42.5183,5.6351,36.6667,heavy_tailed,51.3333,constant,14.6667,variable,heavy_tailed:36.667;approx_normal:37.364;moderately_skewed:39.889;highly_skewed:44.0;multimodal:45.857;constant:51.333
resnet|0.05_0.15_0.8|columnwise,53.3857,17.8099,19.0,constant,69.75,highly_skewed,50.75,variable,constant:19.0;approx_normal:53.818;multimodal:54.857;moderately_skewed:60.111;heavy_tailed:62.778;highly_skewed:69.75
resnet|0.05_0.15_0.8|decoding,80.3027,6.8182,67.3333,constant,86.7857,multimodal,19.4524,variable,constant:67.333;highly_skewed:79.333;moderately_skewed:81.889;approx_normal:82.364;heavy_tailed:84.111;multimodal:86.786
